"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G29003108815003","290318815003","60","4"
"G29003108815004","290318815004","69","5"
"G29003108816001","290318816001","92","9"
"G29003108816002","290318816002","90","9"
"G29003309601001","290339601001","83","8"
"G29003309601002","290339601002","84","8"
"G29003309601003","290339601003","84","8"
"G29003309602001","290339602001","68","5"
"G29003309602002","290339602002","76","6"
"G29003309602003","290339602003","80","7"
"G29003309602004","290339602004","79","7"
"G29003309603001","290339603001","80","7"
"G29003309603002","290339603002","84","8"
"G29003309603003","290339603003","97","10"
"G29003309603004","290339603004","99","10"
"G29003509601001","290359601001","90","9"
"G29003509601002","290359601002","79","7"
"G29003509601003","290359601003","75","6"
"G29003509602001","290359602001","44","2"
"G29003509602002","290359602002","81","7"
"G29003509602003","290359602003","82","7"
"G29003700600011","290370600011","11","1"
"G29003700600012","290370600012","50","3"
"G29003700600013","290370600013","58","4"
"G29003700600031","290370600031","72","6"
"G29003700600032","290370600032","58","4"
"G29003700600033","290370600033","61","4"
"G29003700600041","290370600041","59","4"
"G29003700600042","290370600042","59","4"
"G29003700600043","290370600043","70","5"
"G29003700600044","290370600044","54","3"
"G29003700600045","290370600045","52","3"
"G29003700601001","290370601001","90","9"
"G29003700601002","290370601002","GQ-PH","GQ-PH"
"G29003700601003","290370601003","GQ","GQ"
"G29003700602021","290370602021","73","6"
"G29003700602022","290370602022","51","3"
"G29003700602023","290370602023","62","4"
"G29003700602024","290370602024","74","6"
"G29003700603051","290370603051","38","2"
"G29003700603052","290370603052","50","3"
"G29003700603053","290370603053","36","2"
"G29003700603061","290370603061","47","2"
"G29003700603062","290370603062","45","2"
"G29003700603063","290370603063","44","2"
"G29003700603064","290370603064","34","1"
"G29003700603065","290370603065","45","2"
"G29003700603071","290370603071","34","1"
"G29003700603072","290370603072","19","1"
"G29003700603073","290370603073","46","2"
"G29003700603081","290370603081","32","1"
"G29003700603082","290370603082","74","6"
"G29003700603091","290370603091","53","3"
"G29003700603092","290370603092","36","2"
"G29003700603093","290370603093","43","2"
"G29003700604011","290370604011","23","1"
"G29003700604012","290370604012","25","1"
"G29003700604021","290370604021","19","1"
"G29003700604022","290370604022","27","1"
"G29003700605001","290370605001","33","1"
"G29003700605002","290370605002","42","2"
"G29003700606011","290370606011","38","2"
"G29003700606012","290370606012","48","3"
"G29003700606013","290370606013","62","4"
"G29003700606021","290370606021","74","6"
"G29003700606022","290370606022","78","7"
"G29003700606023","290370606023","49","3"
"G29003700607001","290370607001","79","7"
"G29003700607002","290370607002","54","3"
"G29003700607003","290370607003","58","4"
"G29003700608001","290370608001","51","3"
"G29003700608002","290370608002","32","1"
